,state,sum
425,"[4, 8, 8, 256]",276
426,"[4, 8, 8, 128, 128]",276
427,"[4, 4, 4, 8, 128, 128]",276
428,"[2, 2, 8, 8, 128, 128]",276
429,"[2, 2, 16, 128, 128]",276
430,"[4, 8, 8, 64, 64, 128]",276
431,"[2, 4, 16, 256]",278
432,"[2, 4, 8, 8, 256]",278
433,"[2, 4, 8, 8, 128, 128]",278
434,"[2, 4, 16, 128, 128]",278
435,"[2, 2, 4, 16, 256]",280
436,"[4, 4, 16, 256]",280
437,"[4, 4, 8, 8, 256]",280
438,"[4, 4, 16, 128, 128]",280
439,"[2, 4, 4, 16, 256]",282
440,"[2, 8, 16, 256]",282
441,"[2, 2, 8, 16, 256]",284
442,"[4, 4, 4, 16, 256]",284
443,"[4, 8, 16, 256]",284
444,"[2, 4, 8, 16, 256]",286
445,"[2, 2, 4, 8, 16, 256]",288
446,"[4, 4, 8, 16, 256]",288
447,"[2, 4, 4, 8, 16, 256]",290
448,"[2, 8, 8, 16, 256]",290
449,"[2, 2, 8, 8, 16, 256]",292
450,"[4, 4, 4, 8, 16, 256]",292
451,"[2, 2, 16, 16, 256]",292
452,"[4, 8, 8, 16, 256]",292
453,"[2, 4, 16, 16, 256]",294
454,"[2, 4, 8, 8, 16, 256]",294
455,"[2, 4, 32, 256]",294
456,"[2, 2, 4, 32, 256]",296
457,"[4, 4, 16, 16, 256]",296
458,"[2, 2, 4, 16, 16, 256]",296
459,"[4, 4, 8, 8, 16, 256]",296
460,"[4, 4, 32, 256]",296
461,"[2, 4, 4, 32, 256]",298
462,"[2, 8, 32, 256]",298
463,"[2, 4, 4, 16, 16, 256]",298
464,"[2, 8, 16, 16, 256]",298
465,"[2, 2, 8, 32, 256]",300
466,"[4, 4, 4, 32, 256]",300
467,"[4, 8, 32, 256]",300
468,"[4, 8, 16, 16, 256]",300
469,"[2, 4, 8, 32, 256]",302
470,"[2, 2, 4, 8, 32, 256]",304
471,"[4, 4, 8, 32, 256]",304
472,"[2, 4, 4, 8, 32, 256]",306
473,"[2, 8, 8, 32, 256]",306
474,"[2, 2, 8, 8, 32, 256]",308
475,"[4, 4, 4, 8, 32, 256]",308
476,"[2, 2, 16, 32, 256]",308
477,"[4, 8, 8, 32, 256]",308
478,"[2, 4, 16, 32, 256]",310
479,"[2, 4, 8, 8, 32, 256]",310
480,"[2, 2, 4, 16, 32, 256]",312
481,"[4, 4, 16, 32, 256]",312
482,"[4, 4, 8, 8, 32, 256]",312
483,"[2, 4, 4, 16, 32, 256]",314
484,"[2, 8, 16, 32, 256]",314
485,"[2, 2, 8, 16, 32, 256]",316
486,"[4, 4, 4, 16, 32, 256]",316
487,"[4, 8, 16, 32, 256]",316
488,"[2, 4, 8, 16, 32, 256]",318
489,"[2, 2, 4, 8, 16, 32, 256]",320
490,"[4, 4, 8, 16, 32, 256]",320
491,"[2, 4, 4, 8, 16, 32, 256]",322
492,"[2, 8, 8, 16, 32, 256]",322
493,"[2, 2, 8, 8, 16, 32, 256]",324
494,"[4, 4, 4, 8, 16, 32, 256]",324
495,"[2, 2, 16, 16, 32, 256]",324
496,"[4, 8, 8, 16, 32, 256]",324
497,"[2, 4, 16, 16, 32, 256]",326
498,"[2, 4, 8, 8, 16, 32, 256]",326
499,"[2, 4, 32, 32, 256]",326
500,"[2, 2, 4, 32, 32, 256]",328
501,"[4, 4, 16, 16, 32, 256]",328
502,"[2, 2, 4, 16, 16, 32, 256]",328
503,"[4, 4, 8, 8, 16, 32, 256]",328
504,"[2, 2, 4, 64, 256]",328
505,"[4, 4, 32, 32, 256]",328
506,"[2, 4, 4, 64, 256]",330
507,"[2, 4, 4, 32, 32, 256]",330
508,"[2, 8, 32, 32, 256]",330
509,"[2, 4, 4, 16, 16, 32, 256]",330
510,"[2, 8, 16, 16, 32, 256]",330
511,"[2, 8, 64, 256]",330
512,"[2, 2, 8, 64, 256]",332
513,"[4, 4, 4, 64, 256]",332
514,"[4, 8, 32, 32, 256]",332
515,"[4, 4, 4, 32, 32, 256]",332
516,"[2, 2, 8, 32, 32, 256]",332
517,"[4, 8, 16, 16, 32, 256]",332
518,"[4, 8, 64, 256]",332
519,"[2, 4, 8, 64, 256]",334
520,"[2, 4, 8, 32, 32, 256]",334
521,"[2, 2, 4, 8, 64, 256]",336
522,"[4, 4, 8, 64, 256]",336
523,"[4, 4, 8, 32, 32, 256]",336
524,"[2, 4, 4, 8, 64, 256]",338
525,"[2, 8, 8, 64, 256]",338
526,"[2, 2, 8, 8, 64, 256]",340
527,"[4, 4, 4, 8, 64, 256]",340
528,"[2, 2, 16, 64, 256]",340
529,"[4, 8, 8, 64, 256]",340
530,"[2, 4, 16, 64, 256]",342
531,"[2, 4, 8, 8, 64, 256]",342
532,"[2, 2, 4, 16, 64, 256]",344
533,"[4, 4, 16, 64, 256]",344
534,"[4, 4, 8, 8, 64, 256]",344
535,"[2, 4, 4, 16, 64, 256]",346
536,"[2, 8, 16, 64, 256]",346
537,"[2, 2, 8, 16, 64, 256]",348
538,"[4, 4, 4, 16, 64, 256]",348
539,"[4, 8, 16, 64, 256]",348
540,"[2, 4, 8, 16, 64, 256]",350
541,"[2, 2, 4, 8, 16, 64, 256]",352
542,"[4, 4, 8, 16, 64, 256]",352
543,"[2, 4, 4, 8, 16, 64, 256]",354
544,"[2, 8, 8, 16, 64, 256]",354
545,"[2, 2, 8, 8, 16, 64, 256]",356
546,"[4, 4, 4, 8, 16, 64, 256]",356
547,"[2, 2, 16, 16, 64, 256]",356
548,"[4, 8, 8, 16, 64, 256]",356
549,"[2, 4, 16, 16, 64, 256]",358
550,"[2, 4, 8, 8, 16, 64, 256]",358
551,"[2, 4, 32, 64, 256]",358
552,"[2, 2, 4, 32, 64, 256]",360
553,"[4, 4, 16, 16, 64, 256]",360
554,"[2, 2, 4, 16, 16, 64, 256]",360
555,"[4, 4, 8, 8, 16, 64, 256]",360
556,"[4, 4, 32, 64, 256]",360
557,"[2, 4, 4, 32, 64, 256]",362
558,"[2, 8, 32, 64, 256]",362
559,"[2, 4, 4, 16, 16, 64, 256]",362
560,"[2, 8, 16, 16, 64, 256]",362
561,"[2, 2, 8, 32, 64, 256]",364
562,"[4, 4, 4, 32, 64, 256]",364
563,"[4, 8, 32, 64, 256]",364
564,"[4, 8, 16, 16, 64, 256]",364
565,"[2, 4, 8, 32, 64, 256]",366
566,"[2, 2, 4, 8, 32, 64, 256]",368
567,"[4, 4, 8, 32, 64, 256]",368
568,"[2, 4, 4, 8, 32, 64, 256]",370
569,"[2, 8, 8, 32, 64, 256]",370
570,"[2, 2, 8, 8, 32, 64, 256]",372
571,"[4, 4, 4, 8, 32, 64, 256]",372
572,"[2, 2, 16, 32, 64, 256]",372
573,"[4, 8, 8, 32, 64, 256]",372
574,"[2, 4, 16, 32, 64, 256]",374
575,"[2, 4, 8, 8, 32, 64, 256]",374
576,"[2, 2, 4, 16, 32, 64, 256]",376
577,"[4, 4, 16, 32, 64, 256]",376
578,"[4, 4, 8, 8, 32, 64, 256]",376
579,"[2, 4, 4, 16, 32, 64, 256]",378
580,"[2, 8, 16, 32, 64, 256]",378
581,"[2, 2, 8, 16, 32, 64, 256]",380
582,"[4, 4, 4, 16, 32, 64, 256]",380
583,"[4, 8, 16, 32, 64, 256]",380
584,"[2, 4, 8, 16, 32, 64, 256]",382
585,"[2, 2, 4, 8, 16, 32, 64, 256]",384
586,"[4, 4, 8, 16, 32, 64, 256]",384
587,"[2, 4, 4, 8, 16, 32, 64, 256]",386
588,"[2, 8, 8, 16, 32, 64, 256]",386
589,"[2, 2, 8, 8, 16, 32, 64, 256]",388
590,"[4, 4, 4, 8, 16, 32, 64, 256]",388
591,"[2, 2, 16, 16, 32, 64, 256]",388
592,"[4, 8, 8, 16, 32, 64, 256]",388
593,"[2, 4, 16, 16, 32, 64, 256]",390
594,"[2, 4, 8, 8, 16, 32, 64, 256]",390
